date_id,year,month,day,quarter
20170807,2017,8,7,3
20170814,2017,8,14,3
20170717,2017,7,17,3
20170710,2017,7,10,3
20170626,2017,6,26,2
20170821,2017,8,21,3
20170828,2017,8,28,3
20170605,2017,6,5,2
20170612,2017,6,12,2
20170403,2017,4,3,2
20170724,2017,7,24,3
20171127,2017,11,27,4
20170619,2017,6,19,2
20171023,2017,10,23,4
20171204,2017,12,4,4
20170313,2017,3,13,1
20170424,2017,4,24,2
20170410,2017,4,10,2
20170508,2017,5,8,2
20170515,2017,5,15,2
20170703,2017,7,3,3
20171016,2017,10,16,4
20170116,2017,1,16,1
20170123,2017,1,23,1
20170417,2017,4,17,2
20170501,2017,5,1,2
20170731,2017,7,31,3
20170109,2017,1,9,1
20170102,2017,1,2,1
20171211,2017,12,11,4
20171225,2017,12,25,4
20171218,2017,12,18,4
20161114,2016,11,14,4
20160905,2016,9,5,3
20161121,2016,11,21,4
20160502,2016,5,2,2
20161017,2016,10,17,4
20160530,2016,5,30,2
20160704,2016,7,4,3
20160912,2016,9,12,3
20161024,2016,10,24,4
20161107,2016,11,7,4
20160919,2016,9,19,3
20160509,2016,5,9,2
20161212,2016,12,12,4
20160201,2016,2,1,1
20160425,2016,4,25,2
20160606,2016,6,6,2
20160718,2016,7,18,3
20160801,2016,8,1,3
20160815,2016,8,15,3
20160822,2016,8,22,3
20160829,2016,8,29,3
20160620,2016,6,20,2
20160711,2016,7,11,3
20160725,2016,7,25,3
20161205,2016,12,5,4
20160321,2016,3,21,1
20160328,2016,3,28,1
20160404,2016,4,4,2
20160411,2016,4,11,2
20160418,2016,4,18,2
20160926,2016,9,26,3
20161003,2016,10,3,4
20160613,2016,6,13,2
20160229,2016,2,29,1
20160307,2016,3,7,1
20160314,2016,3,14,1
20161031,2016,10,31,4
20160516,2016,5,16,2
20161010,2016,10,10,4
20160111,2016,1,11,1
20160118,2016,1,18,1
20160125,2016,1,25,1
20160208,2016,2,8,1
20160215,2016,2,15,1
20160222,2016,2,22,1
20160627,2016,6,27,2
20160808,2016,8,8,3
20161128,2016,11,28,4
20160523,2016,5,23,2
20161219,2016,12,19,4
20160104,2016,1,4,1
20200106,2020,1,6,1
20200113,2020,1,13,1
20200120,2020,1,20,1
20200203,2020,2,3,1
20200210,2020,2,10,1
20200217,2020,2,17,1
20200224,2020,2,24,1
20200824,2020,8,24,3
20200831,2020,8,31,3
20200907,2020,9,7,3
20200914,2020,9,14,3
20200921,2020,9,21,3
20200928,2020,9,28,3
20201012,2020,10,12,4
20201019,2020,10,19,4
20201026,2020,10,26,4
20201102,2020,11,2,4
20201109,2020,11,9,4
20201116,2020,11,16,4
20200306,2020,3,6,1
20210104,2021,1,4,1
20210105,2021,1,5,1
20210201,2021,2,1,1
20210202,2021,2,2,1
20210208,2021,2,8,1
20210222,2021,2,22,1
20210301,2021,3,1,1
20210308,2021,3,8,1
20210315,2021,3,15,1
20210322,2021,3,22,1
20210405,2021,4,5,2
20210412,2021,4,12,2
20210419,2021,4,19,2
20210426,2021,4,26,2
20210503,2021,5,3,2
20210510,2021,5,10,2
20210517,2021,5,17,2
20210524,2021,5,24,2
20210531,2021,5,31,2
20210607,2021,6,7,2
20210614,2021,6,14,2
20210621,2021,6,21,2
20210628,2021,6,28,2
20210712,2021,7,12,3
20210719,2021,7,19,3
20210726,2021,7,26,3
20210724,2021,7,24,3
20210802,2021,8,2,3
20210809,2021,8,9,3
20210816,2021,8,16,3
20210823,2021,8,23,3
20171031,2017,10,31,4
20170209,2017,2,9,1
20170210,2017,2,10,1
20170211,2017,2,11,1
20170720,2017,7,20,3
20170721,2017,7,21,3
20170719,2017,7,19,3
20170722,2017,7,22,3
20170421,2017,4,21,2
20170422,2017,4,22,2
20171111,2017,11,11,4
20160203,2016,2,3,1
20160204,2016,2,4,1
20160205,2016,2,5,1
20160206,2016,2,6,1
20160202,2016,2,2,1
20160412,2016,4,12,2
20160415,2016,4,15,2
20160413,2016,4,13,2
20160414,2016,4,14,2
20160416,2016,4,16,2
20161112,2016,11,12,4
20180910,2018,9,10,3
20180402,2018,4,2,2
20180129,2018,1,29,1
20180209,2018,2,9,1
20180208,2018,2,8,1
20180207,2018,2,7,1
20180210,2018,2,10,1
20180620,2018,6,20,2
20180621,2018,6,21,2
20180622,2018,6,22,2
20180623,2018,6,23,2
20180719,2018,7,19,3
20180720,2018,7,20,3
20180718,2018,7,18,3
20180721,2018,7,21,3
20180206,2018,2,6,1
20180418,2018,4,18,2
20180420,2018,4,20,2
20180419,2018,4,19,2
20180421,2018,4,21,2
20181110,2018,11,10,4
20200127,2020,1,27,1
20200302,2020,3,2,1
20200309,2020,3,9,1
20200817,2020,8,17,3
20201005,2020,10,5,4
20201123,2020,11,23,4
20201130,2020,11,30,4
20210110,2021,1,10,1
20210117,2021,1,17,1
20210124,2021,1,24,1
20210131,2021,1,31,1
20210207,2021,2,7,1
20210214,2021,2,14,1
20210329,2021,3,29,1
20210705,2021,7,5,3
20190909,2019,9,9,3
20190401,2019,4,1,2
20191216,2019,12,16,4
20191022,2019,10,22,4
20190128,2019,1,28,1
20190603,2019,6,3,2
20190121,2019,1,21,1
20190208,2019,2,8,1
20190206,2019,2,6,1
20190207,2019,2,7,1
20190209,2019,2,9,1
20190418,2019,4,18,2
20190419,2019,4,19,2
20190417,2019,4,17,2
20190420,2019,4,20,2
20190416,2019,4,16,2
20191109,2019,11,9,4
20210106,2021,1,6,1
20210203,2021,2,3,1
20210213,2021,2,13,1
20210307,2021,3,7,1
20210429,2021,4,29,2
20210417,2021,4,17,2
20190708,2019,7,8,3
20191104,2019,11,4,4
20190902,2019,9,2,3
20190325,2019,3,25,1
20190311,2019,3,11,1
20180326,2018,3,26,1
20180709,2018,7,9,3
20180604,2018,6,4,2
20180903,2018,9,3,3
20180122,2018,1,22,1
20180312,2018,3,12,1
20181119,2018,11,19,4
20200803,2020,8,3,3
20200810,2020,8,10,3
20200205,2020,2,5,1
20200207,2020,2,7,1
20200206,2020,2,6,1
20200208,2020,2,8,1
20200304,2020,3,4,1
20200303,2020,3,3,1
20200307,2020,3,7,1
20200305,2020,3,5,1
20200204,2020,2,4,1
20180605,2018,6,5,2
20181203,2018,12,3,4
20181126,2018,11,26,4
20181210,2018,12,10,4
20181217,2018,12,17,4
20191125,2019,11,25,4
20191202,2019,12,2,4
20191209,2019,12,9,4
20191230,2019,12,30,4
20160304,2016,3,4,1
20160715,2016,7,15,3
20160916,2016,9,16,3
20161125,2016,11,25,4
20170203,2017,2,3,1
20170217,2017,2,17,1
20170407,2017,4,7,2
20170915,2017,9,15,3
20171124,2017,11,24,4
20210111,2021,1,11,1
20210118,2021,1,18,1
20210125,2021,1,25,1
20210215,2021,2,15,1
20201207,2020,12,7,4
20201214,2020,12,14,4
20201221,2020,12,21,4
20201228,2020,12,28,4
